Model,Class,Size,Repeat,Accuracy
TAN,1,32,7,0.9659090909090909
TAN,2,32,7,0.2222222222222222
TAN,3,32,7,0.5903614457831325
TAN,4,32,7,0.205
TAN,5,32,7,0.21875
TAN,6,32,7,0.6470588235294118
TAN,7,32,7,0.48299319727891155
TAN,8,32,7,0.5843373493975904
TAN,9,32,7,0.384180790960452
Logistic,0,32,7,0.5459610027855153
Logistic,1,32,7,0.8257575757575758
Logistic,2,32,7,0.26262626262626265
Logistic,3,32,7,0.20481927710843373
Logistic,4,32,7,0.23
Logistic,5,32,7,0.05625
Logistic,6,32,7,0.29411764705882354
Logistic,7,32,7,0.17687074829931973
Logistic,8,32,7,0.1144578313253012
Logistic,9,32,7,0.2598870056497175
Logistic TAN,0,32,7,0.5988857938718662
Logistic TAN,1,32,7,0.7310606060606061
Logistic TAN,2,32,7,0.2828282828282828
Logistic TAN,3,32,7,0.21084337349397592
Logistic TAN,4,32,7,0.225
Logistic TAN,5,32,7,0.0625
Logistic TAN,6,32,7,0.4294117647058823
Logistic TAN,7,32,7,0.1836734693877551
Logistic TAN,8,32,7,0.10240963855421686
Logistic TAN,9,32,7,0.3050847457627119
NB,0,32,8,0.9303621169916435
NB,1,32,8,0.9583333333333334
NB,2,32,8,0.5202020202020202
NB,3,32,8,0.5903614457831325
NB,4,32,8,0.565
NB,5,32,8,0.2375
NB,6,32,8,0.8117647058823529
NB,7,32,8,0.7074829931972789
NB,8,32,8,0.4036144578313253
NB,9,32,8,0.632768361581921
TAN,0,32,8,0.6852367688022284
TAN,1,32,8,0.9772727272727273
TAN,2,32,8,0.07575757575757576
TAN,3,32,8,0.45180722891566266
TAN,4,32,8,0.38
TAN,5,32,8,0.2875
TAN,6,32,8,0.4
TAN,7,32,8,0.5714285714285714
TAN,8,32,8,0.42168674698795183
TAN,9,32,8,0.6214689265536724
Logistic,0,32,8,0.403899721448468
Logistic,1,32,8,0.8257575757575758
Logistic,2,32,8,0.25252525252525254
Logistic,3,32,8,0.1144578313253012
Logistic,4,32,8,0.31
Logistic,5,32,8,0.175
Logistic,6,32,8,0.2823529411764706
Logistic,7,32,8,0.19727891156462585
Logistic,8,32,8,0.060240963855421686
Logistic,9,32,8,0.192090395480226
Logistic TAN,0,32,8,0.5236768802228412
Logistic TAN,1,32,8,0.7386363636363636
Logistic TAN,2,32,8,0.20202020202020202
Logistic TAN,3,32,8,0.16265060240963855
Logistic TAN,4,32,8,0.36
Logistic TAN,5,32,8,0.06875
Logistic TAN,6,32,8,0.2823529411764706
Logistic TAN,7,32,8,0.17687074829931973
Logistic TAN,8,32,8,0.05421686746987952
Logistic TAN,9,32,8,0.20903954802259886
NB,0,32,9,0.8022284122562674
NB,1,32,9,0.9848484848484849
NB,2,32,9,0.6262626262626263
NB,3,32,9,0.7710843373493976
NB,4,32,9,0.66
NB,5,32,9,0.31875
NB,6,32,9,0.5176470588235295
NB,7,32,9,0.8367346938775511
NB,8,32,9,0.27710843373493976
NB,9,32,9,0.6610169491525424
TAN,0,32,9,0.5710306406685237
TAN,1,32,9,0.9810606060606061
TAN,2,32,9,0.2878787878787879
TAN,3,32,9,0.42771084337349397
TAN,4,32,9,0.345
TAN,5,32,9,0.29375
TAN,6,32,9,0.6529411764705882
TAN,7,32,9,0.29931972789115646
TAN,8,32,9,0.5542168674698795
TAN,9,32,9,0.559322033898305
Logistic,0,32,9,0.39275766016713093
Logistic,1,32,9,0.8901515151515151
Logistic,2,32,9,0.29292929292929293
Logistic,3,32,9,0.1566265060240964
Logistic,4,32,9,0.155
Logistic,5,32,9,0.1
Logistic,6,32,9,0.15294117647058825
Logistic,7,32,9,0.19047619047619047
Logistic,8,32,9,0.1746987951807229
Logistic,9,32,9,0.13559322033898305
Logistic TAN,0,32,9,0.3732590529247911
Logistic TAN,1,32,9,0.9053030303030303
Logistic TAN,2,32,9,0.2828282828282828
Logistic TAN,3,32,9,0.12650602409638553
Logistic TAN,4,32,9,0.215
Logistic TAN,5,32,9,0.10625
Logistic TAN,6,32,9,0.18235294117647058
Logistic TAN,7,32,9,0.24489795918367346
Logistic TAN,8,32,9,0.21084337349397592
Logistic TAN,9,32,9,0.13559322033898305
NB,0,32,10,0.9303621169916435
NB,1,32,10,0.9810606060606061
NB,2,32,10,0.41414141414141414
NB,3,32,10,0.3795180722891566
