Model,Class,Size,Repeat,Accuracy
NB,4,1000,31,0.78
NB,5,1000,31,0.76875
NB,6,1000,31,0.8117647058823529
NB,7,1000,31,0.8503401360544217
NB,8,1000,31,0.8072289156626506
NB,9,1000,31,0.8813559322033898
TAN,0,1000,31,0.9610027855153204
TAN,1,1000,31,0.9356060606060606
TAN,2,1000,31,0.8585858585858586
TAN,3,1000,31,0.7771084337349398
TAN,4,1000,31,0.855
TAN,5,1000,31,0.81875
TAN,6,1000,31,0.8235294117647058
TAN,7,1000,31,0.8299319727891157
TAN,8,1000,31,0.7349397590361446
TAN,9,1000,31,0.8983050847457628
Logistic,0,1000,31,0.9554317548746518
Logistic,1,1000,31,0.9545454545454546
Logistic,2,1000,31,0.8181818181818182
Logistic,3,1000,31,0.8493975903614458
Logistic,4,1000,31,0.835
Logistic,5,1000,31,0.7
Logistic,6,1000,31,0.8470588235294118
Logistic,7,1000,31,0.8843537414965986
Logistic,8,1000,31,0.7228915662650602
Logistic,9,1000,31,0.8926553672316384
Logistic TAN,0,1000,31,0.9526462395543176
Logistic TAN,1,1000,31,0.9583333333333334
Logistic TAN,2,1000,31,0.7929292929292929
Logistic TAN,3,1000,31,0.8132530120481928
Logistic TAN,4,1000,31,0.835
Logistic TAN,5,1000,31,0.75
Logistic TAN,6,1000,31,0.8294117647058824
Logistic TAN,7,1000,31,0.8843537414965986
Logistic TAN,8,1000,31,0.7048192771084337
Logistic TAN,9,1000,31,0.8813559322033898
NB,0,1000,32,0.8885793871866295
NB,1,1000,32,0.9356060606060606
NB,2,1000,32,0.7828282828282829
NB,3,1000,32,0.8132530120481928
NB,4,1000,32,0.745
NB,5,1000,32,0.75
NB,6,1000,32,0.8352941176470589
NB,7,1000,32,0.7959183673469388
NB,8,1000,32,0.7831325301204819
NB,9,1000,32,0.8305084745762712
TAN,0,1000,32,0.9610027855153204
TAN,1,1000,32,0.9242424242424242
TAN,2,1000,32,0.8484848484848485
TAN,3,1000,32,0.8192771084337349
TAN,4,1000,32,0.8
TAN,5,1000,32,0.7875
TAN,6,1000,32,0.8235294117647058
TAN,7,1000,32,0.8163265306122449
TAN,8,1000,32,0.8313253012048193
TAN,9,1000,32,0.8926553672316384
Logistic,0,1000,32,0.9526462395543176
Logistic,1,1000,32,0.946969696969697
Logistic,2,1000,32,0.7727272727272727
Logistic,3,1000,32,0.8012048192771084
Logistic,4,1000,32,0.83
Logistic,5,1000,32,0.71875
Logistic,6,1000,32,0.8352941176470589
Logistic,7,1000,32,0.8775510204081632
Logistic,8,1000,32,0.7289156626506024
Logistic,9,1000,32,0.8870056497175142
Logistic TAN,0,1000,32,0.9665738161559888
Logistic TAN,1,1000,32,0.9507575757575758
Logistic TAN,2,1000,32,0.8131313131313131
Logistic TAN,3,1000,32,0.8072289156626506
Logistic TAN,4,1000,32,0.825
Logistic TAN,5,1000,32,0.74375
Logistic TAN,6,1000,32,0.8294117647058824
Logistic TAN,7,1000,32,0.891156462585034
Logistic TAN,8,1000,32,0.7228915662650602
Logistic TAN,9,1000,32,0.8757062146892656
NB,0,1000,33,0.8913649025069638
NB,1,1000,33,0.9318181818181818
NB,2,1000,33,0.7676767676767676
NB,3,1000,33,0.7530120481927711
NB,4,1000,33,0.765
NB,5,1000,33,0.78125
NB,6,1000,33,0.8470588235294118
NB,7,1000,33,0.8231292517006803
NB,8,1000,33,0.7469879518072289
NB,9,1000,33,0.7966101694915254
TAN,0,1000,33,0.9637883008356546
TAN,1,1000,33,0.9128787878787878
TAN,2,1000,33,0.8585858585858586
TAN,3,1000,33,0.7409638554216867
TAN,4,1000,33,0.8
TAN,5,1000,33,0.8
TAN,6,1000,33,0.8588235294117647
TAN,7,1000,33,0.8571428571428571
TAN,8,1000,33,0.7590361445783133
TAN,9,1000,33,0.8531073446327684
Logistic,0,1000,33,0.9749303621169917
Logistic,1,1000,33,0.946969696969697
Logistic,2,1000,33,0.7525252525252525
Logistic,3,1000,33,0.8493975903614458
Logistic,4,1000,33,0.84
Logistic,5,1000,33,0.75625
Logistic,6,1000,33,0.888235294117647
Logistic,7,1000,33,0.8775510204081632
Logistic,8,1000,33,0.7168674698795181
Logistic,9,1000,33,0.8813559322033898
Logistic TAN,0,1000,33,0.958217270194986
Logistic TAN,1,1000,33,0.9583333333333334
Logistic TAN,2,1000,33,0.7777777777777778
Logistic TAN,3,1000,33,0.8072289156626506
Logistic TAN,4,1000,33,0.85
Logistic TAN,5,1000,33,0.74375
Logistic TAN,6,1000,33,0.9058823529411765
Logistic TAN,7,1000,33,0.8979591836734694
Logistic TAN,8,1000,33,0.6686746987951807
Logistic TAN,9,1000,33,0.864406779661017
NB,0,1000,34,0.8913649025069638
NB,1,1000,34,0.9393939393939394
NB,2,1000,34,0.7525252525252525
NB,3,1000,34,0.8132530120481928
NB,4,1000,34,0.725
NB,5,1000,34,0.76875
NB,6,1000,34,0.8294117647058824
NB,7,1000,34,0.8231292517006803
NB,8,1000,34,0.8132530120481928
NB,9,1000,34,0.8305084745762712
TAN,0,1000,34,0.9610027855153204
TAN,1,1000,34,0.928030303030303
TAN,2,1000,34,0.8484848484848485
TAN,3,1000,34,0.7469879518072289
TAN,4,1000,34,0.855
TAN,5,1000,34,0.78125
TAN,6,1000,34,0.8588235294117647
TAN,7,1000,34,0.7959183673469388
TAN,8,1000,34,0.7951807228915663
TAN,9,1000,34,0.864406779661017
Logistic,0,1000,34,0.9693593314763231
Logistic,1,1000,34,0.946969696969697
Logistic,2,1000,34,0.702020202020202
Logistic,3,1000,34,0.8072289156626506
Logistic,4,1000,34,0.86
Logistic,5,1000,34,0.7375
Logistic,6,1000,34,0.8941176470588236
Logistic,7,1000,34,0.8571428571428571
Logistic,8,1000,34,0.7409638554216867
Logistic,9,1000,34,0.8587570621468926
Logistic TAN,0,1000,34,0.9665738161559888
Logistic TAN,1,1000,34,0.9507575757575758
Logistic TAN,2,1000,34,0.7727272727272727
Logistic TAN,3,1000,34,0.8072289156626506
Logistic TAN,4,1000,34,0.86
Logistic TAN,5,1000,34,0.7
Logistic TAN,6,1000,34,0.8647058823529412
Logistic TAN,7,1000,34,0.891156462585034
Logistic TAN,8,1000,34,0.7108433734939759
Logistic TAN,9,1000,34,0.8700564971751412
NB,0,1000,35,0.883008356545961
NB,1,1000,35,0.9545454545454546
NB,2,1000,35,0.797979797979798
NB,3,1000,35,0.7530120481927711
NB,4,1000,35,0.76
NB,5,1000,35,0.71875
NB,6,1000,35,0.8529411764705882
NB,7,1000,35,0.7687074829931972
NB,8,1000,35,0.7409638554216867
NB,9,1000,35,0.8531073446327684
TAN,0,1000,35,0.9415041782729805
TAN,1,1000,35,0.9393939393939394
TAN,2,1000,35,0.8585858585858586
TAN,3,1000,35,0.7771084337349398
TAN,4,1000,35,0.875
TAN,5,1000,35,0.73125
TAN,6,1000,35,0.8588235294117647
TAN,7,1000,35,0.7959183673469388
TAN,8,1000,35,0.7289156626506024
TAN,9,1000,35,0.8531073446327684
Logistic,0,1000,35,0.9637883008356546
Logistic,1,1000,35,0.9659090909090909
Logistic,2,1000,35,0.7777777777777778
Logistic,3,1000,35,0.7951807228915663
Logistic,4,1000,35,0.8
Logistic,5,1000,35,0.775
Logistic,6,1000,35,0.8705882352941177
Logistic,7,1000,35,0.8571428571428571
Logistic,8,1000,35,0.7048192771084337
Logistic,9,1000,35,0.8587570621468926
Logistic TAN,0,1000,35,0.9637883008356546
Logistic TAN,1,1000,35,0.9621212121212122
Logistic TAN,2,1000,35,0.7626262626262627
Logistic TAN,3,1000,35,0.7469879518072289
Logistic TAN,4,1000,35,0.825
Logistic TAN,5,1000,35,0.775
Logistic TAN,6,1000,35,0.8235294117647058
Logistic TAN,7,1000,35,0.8775510204081632
Logistic TAN,8,1000,35,0.7530120481927711
Logistic TAN,9,1000,35,0.8135593220338984
NB,0,1000,36,0.9108635097493036
NB,1,1000,36,0.9545454545454546
NB,2,1000,36,0.7878787878787878
NB,3,1000,36,0.7650602409638554
NB,4,1000,36,0.775
NB,5,1000,36,0.79375
NB,6,1000,36,0.8588235294117647
NB,7,1000,36,0.7959183673469388
NB,8,1000,36,0.8132530120481928
NB,9,1000,36,0.8135593220338984
TAN,0,1000,36,0.958217270194986
TAN,1,1000,36,0.9242424242424242
TAN,2,1000,36,0.8636363636363636
TAN,3,1000,36,0.7530120481927711
TAN,4,1000,36,0.835
TAN,5,1000,36,0.7375
TAN,6,1000,36,0.8588235294117647
TAN,7,1000,36,0.7959183673469388
TAN,8,1000,36,0.8253012048192772
TAN,9,1000,36,0.8361581920903954
Logistic,0,1000,36,0.9637883008356546
Logistic,1,1000,36,0.9696969696969697
Logistic,2,1000,36,0.7727272727272727
Logistic,3,1000,36,0.7409638554216867
Logistic,4,1000,36,0.83
Logistic,5,1000,36,0.70625
Logistic,6,1000,36,0.8647058823529412
Logistic,7,1000,36,0.8435374149659864
Logistic,8,1000,36,0.7590361445783133
Logistic,9,1000,36,0.8587570621468926
Logistic TAN,0,1000,36,0.9637883008356546
Logistic TAN,1,1000,36,0.9696969696969697
Logistic TAN,2,1000,36,0.8080808080808081
Logistic TAN,3,1000,36,0.7409638554216867
Logistic TAN,4,1000,36,0.855
Logistic TAN,5,1000,36,0.75
Logistic TAN,6,1000,36,0.8705882352941177
Logistic TAN,7,1000,36,0.8775510204081632
Logistic TAN,8,1000,36,0.7891566265060241
Logistic TAN,9,1000,36,0.8418079096045198
NB,0,1000,37,0.8802228412256268
NB,1,1000,37,0.946969696969697
NB,2,1000,37,0.7474747474747475
NB,3,1000,37,0.7469879518072289
NB,4,1000,37,0.735
NB,5,1000,37,0.78125
NB,6,1000,37,0.8470588235294118
NB,7,1000,37,0.8503401360544217
NB,8,1000,37,0.7771084337349398
NB,9,1000,37,0.8361581920903954
TAN,0,1000,37,0.9498607242339833
TAN,1,1000,37,0.9356060606060606
TAN,2,1000,37,0.8636363636363636
TAN,3,1000,37,0.7771084337349398
TAN,4,1000,37,0.86
TAN,5,1000,37,0.8
TAN,6,1000,37,0.8529411764705882
TAN,7,1000,37,0.7959183673469388
TAN,8,1000,37,0.7891566265060241
TAN,9,1000,37,0.8757062146892656
Logistic,0,1000,37,0.9610027855153204
Logistic,1,1000,37,0.9545454545454546
Logistic,2,1000,37,0.7727272727272727
Logistic,3,1000,37,0.8132530120481928
Logistic,4,1000,37,0.84
Logistic,5,1000,37,0.75625
Logistic,6,1000,37,0.888235294117647
Logistic,7,1000,37,0.8707482993197279
Logistic,8,1000,37,0.7108433734939759
Logistic,9,1000,37,0.8700564971751412
Logistic TAN,0,1000,37,0.958217270194986
Logistic TAN,1,1000,37,0.9621212121212122
Logistic TAN,2,1000,37,0.7575757575757576
Logistic TAN,3,1000,37,0.7530120481927711
Logistic TAN,4,1000,37,0.84
Logistic TAN,5,1000,37,0.75625
Logistic TAN,6,1000,37,0.8588235294117647
Logistic TAN,7,1000,37,0.8639455782312925
Logistic TAN,8,1000,37,0.7409638554216867
Logistic TAN,9,1000,37,0.8587570621468926
NB,0,1000,38,0.8969359331476323
NB,1,1000,38,0.9545454545454546
NB,2,1000,38,0.7828282828282829
NB,3,1000,38,0.7409638554216867
NB,4,1000,38,0.745
NB,5,1000,38,0.75
NB,6,1000,38,0.8235294117647058
NB,7,1000,38,0.8571428571428571
NB,8,1000,38,0.7469879518072289
NB,9,1000,38,0.8757062146892656
TAN,0,1000,38,0.9415041782729805
TAN,1,1000,38,0.9507575757575758
TAN,2,1000,38,0.8585858585858586
TAN,3,1000,38,0.7289156626506024
TAN,4,1000,38,0.8
TAN,5,1000,38,0.80625
TAN,6,1000,38,0.8470588235294118
TAN,7,1000,38,0.8231292517006803
TAN,8,1000,38,0.7710843373493976
TAN,9,1000,38,0.8757062146892656
Logistic,0,1000,38,0.9498607242339833
Logistic,1,1000,38,0.9696969696969697
Logistic,2,1000,38,0.7929292929292929
Logistic,3,1000,38,0.7710843373493976
Logistic,4,1000,38,0.855
Logistic,5,1000,38,0.74375
Logistic,6,1000,38,0.8647058823529412
Logistic,7,1000,38,0.8503401360544217
Logistic,8,1000,38,0.7469879518072289
Logistic,9,1000,38,0.903954802259887
Logistic TAN,0,1000,38,0.9526462395543176
Logistic TAN,1,1000,38,0.9621212121212122
Logistic TAN,2,1000,38,0.7929292929292929
Logistic TAN,3,1000,38,0.8313253012048193
Logistic TAN,4,1000,38,0.84
Logistic TAN,5,1000,38,0.76875
Logistic TAN,6,1000,38,0.8411764705882353
Logistic TAN,7,1000,38,0.8843537414965986
Logistic TAN,8,1000,38,0.7409638554216867
Logistic TAN,9,1000,38,0.9265536723163842
NB,0,1000,39,0.8941504178272981
NB,1,1000,39,0.9431818181818182
NB,2,1000,39,0.7626262626262627
NB,3,1000,39,0.7831325301204819
NB,4,1000,39,0.75
NB,5,1000,39,0.78125
NB,6,1000,39,0.8941176470588236
NB,7,1000,39,0.7959183673469388
NB,8,1000,39,0.7771084337349398
NB,9,1000,39,0.8192090395480226
TAN,0,1000,39,0.9610027855153204
TAN,1,1000,39,0.9318181818181818
TAN,2,1000,39,0.8484848484848485
TAN,3,1000,39,0.7891566265060241
TAN,4,1000,39,0.835
TAN,5,1000,39,0.775
TAN,6,1000,39,0.9
TAN,7,1000,39,0.7755102040816326
TAN,8,1000,39,0.7891566265060241
TAN,9,1000,39,0.8700564971751412
Logistic,0,1000,39,0.9526462395543176
Logistic,1,1000,39,0.9507575757575758
Logistic,2,1000,39,0.7929292929292929
Logistic,3,1000,39,0.8072289156626506
Logistic,4,1000,39,0.815
Logistic,5,1000,39,0.7
Logistic,6,1000,39,0.8941176470588236
Logistic,7,1000,39,0.8299319727891157
Logistic,8,1000,39,0.7349397590361446
Logistic,9,1000,39,0.864406779661017
Logistic TAN,0,1000,39,0.958217270194986
Logistic TAN,1,1000,39,0.9545454545454546
Logistic TAN,2,1000,39,0.8232323232323232
Logistic TAN,3,1000,39,0.8192771084337349
Logistic TAN,4,1000,39,0.795
Logistic TAN,5,1000,39,0.6875
Logistic TAN,6,1000,39,0.8823529411764706
Logistic TAN,7,1000,39,0.8843537414965986
Logistic TAN,8,1000,39,0.7771084337349398
Logistic TAN,9,1000,39,0.8361581920903954
NB,0,1000,40,0.8885793871866295
NB,1,1000,40,0.9431818181818182
NB,2,1000,40,0.7929292929292929
NB,3,1000,40,0.7951807228915663
NB,4,1000,40,0.775
NB,5,1000,40,0.7125
NB,6,1000,40,0.8411764705882353
NB,7,1000,40,0.782312925170068
NB,8,1000,40,0.7710843373493976
NB,9,1000,40,0.8248587570621468
TAN,0,1000,40,0.9693593314763231
TAN,1,1000,40,0.9318181818181818
TAN,2,1000,40,0.8333333333333334
TAN,3,1000,40,0.8192771084337349
TAN,4,1000,40,0.82
TAN,5,1000,40,0.73125
TAN,6,1000,40,0.8588235294117647
TAN,7,1000,40,0.7414965986394558
TAN,8,1000,40,0.7590361445783133
TAN,9,1000,40,0.8757062146892656
Logistic,0,1000,40,0.9637883008356546
Logistic,1,1000,40,0.9659090909090909
Logistic,2,1000,40,0.7525252525252525
Logistic,3,1000,40,0.8373493975903614
Logistic,4,1000,40,0.8
Logistic,5,1000,40,0.73125
Logistic,6,1000,40,0.888235294117647
Logistic,7,1000,40,0.8843537414965986
Logistic,8,1000,40,0.7289156626506024
Logistic,9,1000,40,0.8870056497175142
Logistic TAN,0,1000,40,0.9610027855153204
Logistic TAN,1,1000,40,0.9696969696969697
Logistic TAN,2,1000,40,0.803030303030303
Logistic TAN,3,1000,40,0.8493975903614458
Logistic TAN,4,1000,40,0.815
Logistic TAN,5,1000,40,0.70625
Logistic TAN,6,1000,40,0.8941176470588236
Logistic TAN,7,1000,40,0.8707482993197279
Logistic TAN,8,1000,40,0.7289156626506024
Logistic TAN,9,1000,40,0.864406779661017
NB,0,1000,41,0.8635097493036211
NB,1,1000,41,0.9393939393939394
NB,2,1000,41,0.7828282828282829
NB,3,1000,41,0.7650602409638554
NB,4,1000,41,0.73
NB,5,1000,41,0.75625
NB,6,1000,41,0.8588235294117647
NB,7,1000,41,0.8095238095238095
NB,8,1000,41,0.8253012048192772
NB,9,1000,41,0.8248587570621468
TAN,0,1000,41,0.9498607242339833
TAN,1,1000,41,0.9242424242424242
TAN,2,1000,41,0.8383838383838383
TAN,3,1000,41,0.7590361445783133
TAN,4,1000,41,0.83
TAN,5,1000,41,0.825
TAN,6,1000,41,0.888235294117647
TAN,7,1000,41,0.7755102040816326
TAN,8,1000,41,0.8192771084337349
TAN,9,1000,41,0.8813559322033898
Logistic,0,1000,41,0.9498607242339833
Logistic,1,1000,41,0.9583333333333334
Logistic,2,1000,41,0.7121212121212122
Logistic,3,1000,41,0.8313253012048193
Logistic,4,1000,41,0.835
Logistic,5,1000,41,0.775
Logistic,6,1000,41,0.8823529411764706
Logistic,7,1000,41,0.8707482993197279
Logistic,8,1000,41,0.7349397590361446
Logistic,9,1000,41,0.8870056497175142
Logistic TAN,0,1000,41,0.9554317548746518
Logistic TAN,1,1000,41,0.9621212121212122
Logistic TAN,2,1000,41,0.7424242424242424
Logistic TAN,3,1000,41,0.7771084337349398
Logistic TAN,4,1000,41,0.825
Logistic TAN,5,1000,41,0.80625
Logistic TAN,6,1000,41,0.8470588235294118
Logistic TAN,7,1000,41,0.8843537414965986
Logistic TAN,8,1000,41,0.7590361445783133
Logistic TAN,9,1000,41,0.8870056497175142
NB,0,1000,42,0.8802228412256268
NB,1,1000,42,0.9545454545454546
NB,2,1000,42,0.7424242424242424
NB,3,1000,42,0.7831325301204819
NB,4,1000,42,0.82
NB,5,1000,42,0.76875
NB,6,1000,42,0.8411764705882353
NB,7,1000,42,0.8027210884353742
NB,8,1000,42,0.7831325301204819
NB,9,1000,42,0.807909604519774
TAN,0,1000,42,0.9554317548746518
TAN,1,1000,42,0.9431818181818182
TAN,2,1000,42,0.8434343434343434
TAN,3,1000,42,0.8012048192771084
TAN,4,1000,42,0.88
TAN,5,1000,42,0.8
TAN,6,1000,42,0.8764705882352941
TAN,7,1000,42,0.8095238095238095
TAN,8,1000,42,0.8132530120481928
TAN,9,1000,42,0.8248587570621468
Logistic,0,1000,42,0.9498607242339833
Logistic,1,1000,42,0.946969696969697
Logistic,2,1000,42,0.7575757575757576
Logistic,3,1000,42,0.8192771084337349
Logistic,4,1000,42,0.89
Logistic,5,1000,42,0.76875
Logistic,6,1000,42,0.8705882352941177
Logistic,7,1000,42,0.8639455782312925
Logistic,8,1000,42,0.7048192771084337
Logistic,9,1000,42,0.847457627118644
Logistic TAN,0,1000,42,0.947075208913649
Logistic TAN,1,1000,42,0.9621212121212122
Logistic TAN,2,1000,42,0.7878787878787878
Logistic TAN,3,1000,42,0.7951807228915663
Logistic TAN,4,1000,42,0.9
Logistic TAN,5,1000,42,0.71875
Logistic TAN,6,1000,42,0.8411764705882353
Logistic TAN,7,1000,42,0.8707482993197279
Logistic TAN,8,1000,42,0.7228915662650602
Logistic TAN,9,1000,42,0.8813559322033898
NB,0,1000,43,0.8802228412256268
NB,1,1000,43,0.946969696969697
NB,2,1000,43,0.7777777777777778
NB,3,1000,43,0.8253012048192772
NB,4,1000,43,0.755
NB,5,1000,43,0.8125
NB,6,1000,43,0.8470588235294118
NB,7,1000,43,0.8299319727891157
NB,8,1000,43,0.7710843373493976
NB,9,1000,43,0.847457627118644
TAN,0,1000,43,0.958217270194986
TAN,1,1000,43,0.9242424242424242
TAN,2,1000,43,0.8434343434343434
TAN,3,1000,43,0.7771084337349398
TAN,4,1000,43,0.82
TAN,5,1000,43,0.85
TAN,6,1000,43,0.8411764705882353
TAN,7,1000,43,0.7687074829931972
TAN,8,1000,43,0.7951807228915663
TAN,9,1000,43,0.8757062146892656
Logistic,0,1000,43,0.9610027855153204
Logistic,1,1000,43,0.9507575757575758
Logistic,2,1000,43,0.7777777777777778
Logistic,3,1000,43,0.8253012048192772
Logistic,4,1000,43,0.845
Logistic,5,1000,43,0.75
Logistic,6,1000,43,0.8352941176470589
Logistic,7,1000,43,0.8639455782312925
Logistic,8,1000,43,0.6807228915662651
Logistic,9,1000,43,0.8870056497175142
Logistic TAN,0,1000,43,0.9637883008356546
Logistic TAN,1,1000,43,0.9583333333333334
Logistic TAN,2,1000,43,0.803030303030303
Logistic TAN,3,1000,43,0.8012048192771084
Logistic TAN,4,1000,43,0.83
Logistic TAN,5,1000,43,0.75
Logistic TAN,6,1000,43,0.8352941176470589
Logistic TAN,7,1000,43,0.8707482993197279
Logistic TAN,8,1000,43,0.6686746987951807
Logistic TAN,9,1000,43,0.8700564971751412
NB,0,1000,44,0.8774373259052924
NB,1,1000,44,0.9431818181818182
NB,2,1000,44,0.7626262626262627
NB,3,1000,44,0.7590361445783133
NB,4,1000,44,0.75
NB,5,1000,44,0.7625
NB,6,1000,44,0.8294117647058824
NB,7,1000,44,0.8299319727891157
NB,8,1000,44,0.7650602409638554
NB,9,1000,44,0.8192090395480226
TAN,0,1000,44,0.9610027855153204
TAN,1,1000,44,0.9166666666666666
TAN,2,1000,44,0.8686868686868687
TAN,3,1000,44,0.7590361445783133
TAN,4,1000,44,0.815
TAN,5,1000,44,0.75625
TAN,6,1000,44,0.8294117647058824
TAN,7,1000,44,0.8435374149659864
TAN,8,1000,44,0.7469879518072289
TAN,9,1000,44,0.8813559322033898
Logistic,0,1000,44,0.9665738161559888
Logistic,1,1000,44,0.9583333333333334
Logistic,2,1000,44,0.7777777777777778
Logistic,3,1000,44,0.8012048192771084
Logistic,4,1000,44,0.835
Logistic,5,1000,44,0.71875
Logistic,6,1000,44,0.888235294117647
Logistic,7,1000,44,0.8775510204081632
Logistic,8,1000,44,0.7048192771084337
Logistic,9,1000,44,0.864406779661017
Logistic TAN,0,1000,44,0.9777158774373259
Logistic TAN,1,1000,44,0.9545454545454546
Logistic TAN,2,1000,44,0.797979797979798
Logistic TAN,3,1000,44,0.8253012048192772
Logistic TAN,4,1000,44,0.825
Logistic TAN,5,1000,44,0.69375
Logistic TAN,6,1000,44,0.8176470588235294
Logistic TAN,7,1000,44,0.8843537414965986
Logistic TAN,8,1000,44,0.6987951807228916
Logistic TAN,9,1000,44,0.8757062146892656
NB,0,1000,45,0.8857938718662952
NB,1,1000,45,0.9545454545454546
NB,2,1000,45,0.7777777777777778
NB,3,1000,45,0.7710843373493976
NB,4,1000,45,0.77
NB,5,1000,45,0.76875
NB,6,1000,45,0.8529411764705882
NB,7,1000,45,0.8707482993197279
NB,8,1000,45,0.7530120481927711
NB,9,1000,45,0.8418079096045198
TAN,0,1000,45,0.9387186629526463
TAN,1,1000,45,0.9318181818181818
TAN,2,1000,45,0.8434343434343434
TAN,3,1000,45,0.7771084337349398
TAN,4,1000,45,0.77
TAN,5,1000,45,0.8
TAN,6,1000,45,0.9058823529411765
TAN,7,1000,45,0.8367346938775511
TAN,8,1000,45,0.8072289156626506
TAN,9,1000,45,0.8926553672316384
Logistic,0,1000,45,0.958217270194986
Logistic,1,1000,45,0.9583333333333334
Logistic,2,1000,45,0.7878787878787878
Logistic,3,1000,45,0.8313253012048193
Logistic,4,1000,45,0.76
Logistic,5,1000,45,0.6875
Logistic,6,1000,45,0.8705882352941177
Logistic,7,1000,45,0.8503401360544217
Logistic,8,1000,45,0.7168674698795181
Logistic,9,1000,45,0.864406779661017
Logistic TAN,0,1000,45,0.9665738161559888
Logistic TAN,1,1000,45,0.9545454545454546
Logistic TAN,2,1000,45,0.8080808080808081
Logistic TAN,3,1000,45,0.7891566265060241
Logistic TAN,4,1000,45,0.84
Logistic TAN,5,1000,45,0.725
Logistic TAN,6,1000,45,0.8470588235294118
Logistic TAN,7,1000,45,0.8707482993197279
Logistic TAN,8,1000,45,0.6807228915662651
Logistic TAN,9,1000,45,0.8870056497175142
NB,0,1000,46,0.8579387186629527
NB,1,1000,46,0.928030303030303
NB,2,1000,46,0.7777777777777778
NB,3,1000,46,0.7228915662650602
NB,4,1000,46,0.805
NB,5,1000,46,0.775
NB,6,1000,46,0.8588235294117647
NB,7,1000,46,0.8231292517006803
NB,8,1000,46,0.7951807228915663
NB,9,1000,46,0.8361581920903954
TAN,0,1000,46,0.9387186629526463
TAN,1,1000,46,0.9166666666666666
TAN,2,1000,46,0.8737373737373737
TAN,3,1000,46,0.7590361445783133
TAN,4,1000,46,0.825
TAN,5,1000,46,0.78125
TAN,6,1000,46,0.8764705882352941
TAN,7,1000,46,0.782312925170068
TAN,8,1000,46,0.7590361445783133
TAN,9,1000,46,0.8757062146892656
Logistic,0,1000,46,0.9442896935933147
Logistic,1,1000,46,0.946969696969697
Logistic,2,1000,46,0.8232323232323232
Logistic,3,1000,46,0.7891566265060241
Logistic,4,1000,46,0.83
Logistic,5,1000,46,0.75625
Logistic,6,1000,46,0.8823529411764706
Logistic,7,1000,46,0.8707482993197279
Logistic,8,1000,46,0.7530120481927711
Logistic,9,1000,46,0.903954802259887
Logistic TAN,0,1000,46,0.9637883008356546
Logistic TAN,1,1000,46,0.9507575757575758
Logistic TAN,2,1000,46,0.8333333333333334
Logistic TAN,3,1000,46,0.7650602409638554
Logistic TAN,4,1000,46,0.815
Logistic TAN,5,1000,46,0.73125
Logistic TAN,6,1000,46,0.8235294117647058
Logistic TAN,7,1000,46,0.8639455782312925
Logistic TAN,8,1000,46,0.7530120481927711
Logistic TAN,9,1000,46,0.8813559322033898
NB,0,1000,47,0.8885793871866295
NB,1,1000,47,0.9356060606060606
NB,2,1000,47,0.803030303030303
NB,3,1000,47,0.7590361445783133
NB,4,1000,47,0.78
NB,5,1000,47,0.76875
NB,6,1000,47,0.8176470588235294
NB,7,1000,47,0.782312925170068
NB,8,1000,47,0.7409638554216867
NB,9,1000,47,0.8531073446327684
TAN,0,1000,47,0.947075208913649
TAN,1,1000,47,0.9166666666666666
TAN,2,1000,47,0.8787878787878788
TAN,3,1000,47,0.7650602409638554
TAN,4,1000,47,0.855
TAN,5,1000,47,0.775
TAN,6,1000,47,0.8235294117647058
TAN,7,1000,47,0.7414965986394558
TAN,8,1000,47,0.7650602409638554
TAN,9,1000,47,0.8700564971751412
Logistic,0,1000,47,0.947075208913649
Logistic,1,1000,47,0.946969696969697
Logistic,2,1000,47,0.7929292929292929
Logistic,3,1000,47,0.8072289156626506
Logistic,4,1000,47,0.815
Logistic,5,1000,47,0.75625
Logistic,6,1000,47,0.8294117647058824
Logistic,7,1000,47,0.8367346938775511
Logistic,8,1000,47,0.7048192771084337
Logistic,9,1000,47,0.903954802259887
Logistic TAN,0,1000,47,0.958217270194986
Logistic TAN,1,1000,47,0.9507575757575758
Logistic TAN,2,1000,47,0.8383838383838383
Logistic TAN,3,1000,47,0.8132530120481928
Logistic TAN,4,1000,47,0.82
Logistic TAN,5,1000,47,0.70625
Logistic TAN,6,1000,47,0.8411764705882353
Logistic TAN,7,1000,47,0.8707482993197279
Logistic TAN,8,1000,47,0.6987951807228916
Logistic TAN,9,1000,47,0.8926553672316384
NB,0,1000,48,0.8969359331476323
NB,1,1000,48,0.946969696969697
NB,2,1000,48,0.7828282828282829
NB,3,1000,48,0.7469879518072289
NB,4,1000,48,0.775
NB,5,1000,48,0.75
NB,6,1000,48,0.8058823529411765
NB,7,1000,48,0.7959183673469388
NB,8,1000,48,0.7710843373493976
NB,9,1000,48,0.8361581920903954
TAN,0,1000,48,0.9554317548746518
TAN,1,1000,48,0.9318181818181818
TAN,2,1000,48,0.8787878787878788
TAN,3,1000,48,0.7289156626506024
TAN,4,1000,48,0.81
TAN,5,1000,48,0.7875
TAN,6,1000,48,0.8294117647058824
TAN,7,1000,48,0.782312925170068
TAN,8,1000,48,0.7710843373493976
TAN,9,1000,48,0.8926553672316384
Logistic,0,1000,48,0.947075208913649
Logistic,1,1000,48,0.946969696969697
Logistic,2,1000,48,0.7222222222222222
Logistic,3,1000,48,0.7590361445783133
